CV1	CV2	free energy (kJ/mol)
1.3199999999999998	0.383	inf
1.38	0.383	inf
1.44	0.383	inf
1.4999999999999998	0.383	inf
1.5599999999999998	0.383	inf
1.62	0.383	inf
1.6799999999999995	0.383	inf
1.7399999999999998	0.383	inf
1.7999999999999998	0.383	inf
1.86	0.383	inf
1.92	0.383	inf
1.98	0.383	inf
2.04	0.383	inf
2.1	0.383	inf
2.16	0.383	inf
2.22	0.383	inf
2.28	0.383	inf
2.34	0.383	inf
2.4	0.383	inf
2.46	0.383	inf
2.52	0.383	inf
2.58	0.383	inf
2.64	0.383	inf
2.7	0.383	inf
2.76	0.383	inf
2.82	0.383	inf
2.88	0.383	inf
2.94	0.383	inf
3.0	0.383	inf
-3.0	0.3995	55.07439296081216
-2.94	0.3995	45.32501798464478
-2.88	0.3995	38.85627493708601
-2.82	0.3995	35.3720765494581
-2.76	0.3995	33.80302649438743
-2.7	0.3995	29.969166228189287
-2.64	0.3995	26.820293051097423
-2.58	0.3995	24.335890772541255
-2.52	0.3995	20.434711564693792
-2.46	0.3995	16.67931013872833
-2.4	0.3995	13.814998465076108
-2.34	0.3995	11.944998878454232
-2.28	0.3995	10.890822692227683
-2.22	0.3995	10.576034236846732
-2.16	0.3995	11.005903588089623
-2.1	0.3995	12.185918934679586
-2.04	0.3995	13.919275279191272
-1.98	0.3995	15.781096544313009
-1.92	0.3995	17.544293652087532
-1.86	0.3995	19.365864171235074
-1.8	0.3995	21.627274433755005
-1.74	0.3995	23.731766721941717
-1.6800000000000002	0.3995	25.90633164609116
-1.62	0.3995	28.323630467878523
-1.56	0.3995	29.001245511951605
-1.5	0.3995	29.379943663562614
-1.44	0.3995	32.08333593461358
-1.38	0.3995	38.09101110471354
-1.32	0.3995	51.13765545196679
-1.26	0.3995	51.494130465737165
-1.2000000000000002	0.3995	55.36359376170383
-1.14	0.3995	62.73158744012695
-1.08	0.3995	77.66513854356653
-1.02	0.3995	100.188396925903
-0.96	0.3995	106.03432609922643
-0.9000000000000001	0.3995	114.00051592005688
-0.84	0.3995	inf
-0.78	0.3995	inf
-0.7200000000000001	0.3995	inf
-0.6600000000000001	0.3995	inf
-0.6000000000000001	0.3995	inf
-0.54	0.3995	inf
-0.4800000000000001	0.3995	inf
-0.4200000000000001	0.3995	inf
-0.3600000000000001	0.3995	inf
-0.3000000000000001	0.3995	inf
-0.24000000000000007	0.3995	inf
-0.1800000000000001	0.3995	inf
-0.12000000000000012	0.3995	inf
-0.0600000000000001	0.3995	inf
-1.1102230246251563e-16	0.3995	inf
0.05999999999999989	0.3995	inf
0.11999999999999988	0.3995	inf
0.17999999999999988	0.3995	inf
0.23999999999999988	0.3995	inf
0.2999999999999999	0.3995	inf
0.3599999999999999	0.3995	inf
0.41999999999999993	0.3995	inf
0.4799999999999999	0.3995	inf
0.5399999999999998	0.3995	inf
0.5999999999999999	0.3995	inf
0.6599999999999999	0.3995	inf
0.72	0.3995	inf
0.7799999999999998	0.3995	inf
0.8399999999999999	0.3995	inf
0.8999999999999998	0.3995	inf
0.9599999999999999	0.3995	inf
1.0199999999999998	0.3995	inf
1.0799999999999998	0.3995	inf
1.14	0.3995	inf
1.1999999999999995	0.3995	inf
1.2599999999999998	0.3995	inf
1.3199999999999998	0.3995	inf
1.38	0.3995	inf
1.44	0.3995	inf
1.4999999999999998	0.3995	inf
1.5599999999999998	0.3995	inf
1.62	0.3995	inf
1.6799999999999995	0.3995	inf
1.7399999999999998	0.3995	inf
1.7999999999999998	0.3995	inf
1.86	0.3995	inf
1.92	0.3995	inf
1.98	0.3995	inf
2.04	0.3995	inf
2.1	0.3995	inf
2.16	0.3995	inf
2.22	0.3995	inf
2.28	0.3995	inf
2.34	0.3995	inf
2.4	0.3995	inf
2.46	0.3995	inf
2.52	0.3995	inf
2.58	0.3995	inf
2.64	0.3995	inf
2.7	0.3995	inf
2.76	0.3995	inf
2.82	0.3995	inf
2.88	0.3995	inf
2.94	0.3995	inf
3.0	0.3995	inf
-3.0	0.416	52.228735879602496
-2.94	0.416	42.50186623030575
-2.88	0.416	36.08252293925667
-2.82	0.416	32.667997563077975
-2.76	0.416	31.14026801450011
-2.7	0.416	27.3672216189336
-2.64	0.416	24.20119435213424
-2.58	0.416	21.565330081499734
-2.52	0.416	17.557096623663455
-2.46	0.416	13.787066905662972
-2.4	0.416	10.945406263571716
-2.34	0.416	9.08643392882713
-2.28	0.416	8.03812617846567
-2.22	0.416	7.732146160085954
-2.16	0.416	8.162388063742942
-2.1	0.416	9.31471756714793
-2.04	0.416	10.996475414290517
-1.98	0.416	12.826749683219356
-1.92	0.416	14.58099722997554
-1.86	0.416	16.386540169693358
-1.8	0.416	18.5318664320653
-1.74	0.416	20.654852557188526
-1.6800000000000002	0.416	22.95520449948306
-1.62	0.416	25.38047804622958
-1.56	0.416	26.259980963778546
-1.5	0.416	26.719943398243547
-1.44	0.416	29.042303720917104
-1.38	0.416	31.94653784788259
-1.32	0.416	35.175346495252455
-1.26	0.416	41.235495460803456
-1.2000000000000002	0.416	53.80910568870848
-1.14	0.416	61.14299063764808
-1.08	0.416	75.38768744848066
-1.02	0.416	98.29065751675195
-0.96	0.416	103.99955838911576
-0.9000000000000001	0.416	111.78989665494429
-0.84	0.416	inf
-0.78	0.416	inf
-0.7200000000000001	0.416	inf
-0.6600000000000001	0.416	inf
-0.6000000000000001	0.416	inf
-0.54	0.416	inf
-0.4800000000000001	0.416	inf
-0.4200000000000001	0.416	inf
-0.3600000000000001	0.416	inf
-0.3000000000000001	0.416	inf
-0.24000000000000007	0.416	inf
-0.1800000000000001	0.416	inf
-0.12000000000000012	0.416	inf
-0.0600000000000001	0.416	inf
-1.1102230246251563e-16	0.416	inf
0.05999999999999989	0.416	inf
0.11999999999999988	0.416	inf
0.17999999999999988	0.416	inf
0.23999999999999988	0.416	inf
0.2999999999999999	0.416	inf
0.3599999999999999	0.416	inf
0.41999999999999993	0.416	inf
0.4799999999999999	0.416	inf
0.5399999999999998	0.416	inf
0.5999999999999999	0.416	inf
0.6599999999999999	0.416	inf
0.72	0.416	inf
0.7799999999999998	0.416	inf
0.8399999999999999	0.416	inf
0.8999999999999998	0.416	inf
0.9599999999999999	0.416	inf
1.0199999999999998	0.416	inf
1.0799999999999998	0.416	inf
1.14	0.416	inf
1.1999999999999995	0.416	inf
1.2599999999999998	0.416	inf
1.3199999999999998	0.416	inf
1.38	0.416	inf
1.44	0.416	inf
1.4999999999999998	0.416	inf
1.5599999999999998	0.416	inf
1.62	0.416	inf
1.6799999999999995	0.416	inf
1.7399999999999998	0.416	inf
1.7999999999999998	0.416	inf
1.86	0.416	inf
1.92	0.416	inf
1.98	0.416	inf
2.04	0.416	inf
2.1	0.416	inf
2.16	0.416	inf
2.22	0.416	inf
2.28	0.416	inf
2.34	0.416	inf
2.4	0.416	inf
2.46	0.416	inf
2.52	0.416	inf
2.58	0.416	inf
2.64	0.416	inf
2.7	0.416	inf
2.76	0.416	inf
2.82	0.416	inf
2.88	0.416	inf
2.94	0.416	inf
3.0	0.416	inf
-3.0	0.4325	49.65317442231161
-2.94	0.4325	39.94655261105324
-2.88	0.4325	33.57376443864679
-2.82	0.4325	30.23506465142114
-2.76	0.4325	28.76986038205048
-2.7	0.4325	25.01461869359945
-2.64	0.4325	21.830897813252356
-2.58	0.4325	19.09324928837424
-2.52	0.4325	15.016423209551702
-2.46	0.4325	11.240895739288618
-2.4	0.4325	8.416875337725715
-2.34	0.4325	6.568023850173089
-2.28	0.4325	5.52462870078023
-2.22	0.4325	5.22474562328807
-2.16	0.4325	5.653035339913114
-2.1	0.4325	6.781756158447114
-2.04	0.4325	8.426779484128131
-1.98	0.4325	10.232455281168225
-1.92	0.4325	11.972300429116006
-1.86	0.4325	13.76484332327434
-1.8	0.4325	15.839459592562138
-1.74	0.4325	17.959395480458873
-1.6800000000000002	0.4325	20.308269066420127
-1.62	0.4325	22.68400016996739
-1.56	0.4325	23.64955071118797
-1.5	0.4325	24.28207298050811
-1.44	0.4325	26.59381759694546
-1.38	0.4325	29.08721032127924
-1.32	0.4325	32.145909277742994
-1.26	0.4325	38.19737602985639
-1.2000000000000002	0.4325	51.45409170522425
-1.14	0.4325	59.80693283612474
-1.08	0.4325	73.30904729560822
-1.02	0.4325	82.39456985601805
-0.96	0.4325	85.98687717756147
-0.9000000000000001	0.4325	93.1671500393499
-0.84	0.4325	inf
-0.78	0.4325	inf
-0.7200000000000001	0.4325	inf
-0.6600000000000001	0.4325	inf
-0.6000000000000001	0.4325	inf
-0.54	0.4325	inf
-0.4800000000000001	0.4325	inf
-0.4200000000000001	0.4325	inf
-0.3600000000000001	0.4325	inf
-0.3000000000000001	0.4325	inf
-0.24000000000000007	0.4325	inf
-0.1800000000000001	0.4325	inf
-0.12000000000000012	0.4325	inf
-0.0600000000000001	0.4325	inf
-1.1102230246251563e-16	0.4325	inf
0.05999999999999989	0.4325	inf
0.11999999999999988	0.4325	inf
0.17999999999999988	0.4325	inf
0.23999999999999988	0.4325	inf
0.2999999999999999	0.4325	inf
0.3599999999999999	0.4325	inf
0.41999999999999993	0.4325	inf
0.4799999999999999	0.4325	inf
0.5399999999999998	0.4325	inf
0.5999999999999999	0.4325	inf
0.6599999999999999	0.4325	inf
0.72	0.4325	inf
0.7799999999999998	0.4325	inf
0.8399999999999999	0.4325	inf
0.8999999999999998	0.4325	inf
0.9599999999999999	0.4325	inf
1.0199999999999998	0.4325	inf
1.0799999999999998	0.4325	inf
1.14	0.4325	inf
1.1999999999999995	0.4325	inf
1.2599999999999998	0.4325	inf
1.3199999999999998	0.4325	inf
1.38	0.4325	inf
1.44	0.4325	inf
1.4999999999999998	0.4325	inf
1.5599999999999998	0.4325	inf
1.62	0.4325	inf
1.6799999999999995	0.4325	inf
1.7399999999999998	0.4325	inf
1.7999999999999998	0.4325	inf
1.86	0.4325	inf
1.92	0.4325	inf
1.98	0.4325	inf
2.04	0.4325	inf
2.1	0.4325	inf
2.16	0.4325	inf
2.22	0.4325	inf
2.28	0.4325	inf
2.34	0.4325	inf
2.4	0.4325	inf
2.46	0.4325	inf
2.52	0.4325	inf
2.58	0.4325	inf
2.64	0.4325	inf
2.7	0.4325	inf
2.76	0.4325	inf
2.82	0.4325	inf
2.88	0.4325	inf
2.94	0.4325	inf
3.0	0.4325	inf
-3.0	0.449	47.34788348492208
-2.94	0.449	37.65932225588397
-2.88	0.449	31.329045940764008
-2.82	0.449	28.062682430653584
-2.76	0.449	26.66919081343984
-2.7	0.449	22.95225318418424
-2.64	0.449	19.742756545874645
-2.58	0.449	16.882225869323456
-2.52	0.449	12.73865325513806
-2.46	0.449	8.9628910519987
-2.4	0.449	6.154150846127447
-2.34	0.449	4.312682787889712
-2.28	0.449	3.273308294701475
-2.22	0.449	2.977489815644488
-2.16	0.449	3.403147172672837
-2.1	0.449	4.50937483962797
-2.04	0.449	6.119749620743449
-1.98	0.449	7.904268610155548
-1.92	0.449	9.632686509052748
-1.86	0.449	11.411780962888862
-1.8	0.449	13.425080335498668
-1.74	0.449	15.54814156930298
-1.6800000000000002	0.449	17.94607405215545
-1.62	0.449	20.277926942049767
-1.56	0.449	21.35588338132008
-1.5	0.449	22.152408200426763
-1.44	0.449	24.390073460963823
-1.38	0.449	26.463189437715734
-1.32	0.449	29.394275505744368
-1.26	0.449	35.43671816744474
-1.2000000000000002	0.449	48.97938075756289
-1.14	0.449	58.52467499236056
-1.08	0.449	71.52525279673767
-1.02	0.449	79.32915654680359
-0.96	0.449	82.9191288707635
-0.9000000000000001	0.449	90.09901194249328
-0.84	0.449	inf
-0.78	0.449	inf
-0.7200000000000001	0.449	inf
-0.6600000000000001	0.449	inf
-0.6000000000000001	0.449	inf
-0.54	0.449	inf
-0.4800000000000001	0.449	inf
-0.4200000000000001	0.449	inf
-0.3600000000000001	0.449	inf
-0.3000000000000001	0.449	inf
-0.24000000000000007	0.449	inf
-0.1800000000000001	0.449	inf
-0.12000000000000012	0.449	inf
-0.0600000000000001	0.449	inf
-1.1102230246251563e-16	0.449	inf
0.05999999999999989	0.449	inf
0.11999999999999988	0.449	inf
0.17999999999999988	0.449	inf
0.23999999999999988	0.449	inf
0.2999999999999999	0.449	inf
0.3599999999999999	0.449	inf
0.41999999999999993	0.449	inf
0.4799999999999999	0.449	inf
0.5399999999999998	0.449	inf
0.5999999999999999	0.449	inf
0.6599999999999999	0.449	inf
0.72	0.449	inf
0.7799999999999998	0.449	inf
0.8399999999999999	0.449	inf
0.8999999999999998	0.449	inf
0.9599999999999999	0.449	inf
1.0199999999999998	0.449	inf
1.0799999999999998	0.449	inf
1.14	0.449	inf
1.1999999999999995	0.449	inf
1.2599999999999998	0.449	inf
1.3199999999999998	0.449	inf
1.38	0.449	inf
1.44	0.449	inf
1.4999999999999998	0.449	inf
1.5599999999999998	0.449	inf
1.62	0.449	inf
1.6799999999999995	0.449	inf
1.7399999999999998	0.449	inf
1.7999999999999998	0.449	inf
1.86	0.449	inf
1.92	0.449	inf
1.98	0.449	inf
2.04	0.449	inf
2.1	0.449	inf
2.16	0.449	inf
2.22	0.449	inf
2.28	0.449	inf
2.34	0.449	inf
2.4	0.449	inf
2.46	0.449	inf
2.52	0.449	inf
2.58	0.449	inf
2.64	0.449	inf
2.7	0.449	inf
2.76	0.449	inf
2.82	0.449	inf
2.88	0.449	inf
2.94	0.449	inf
3.0	0.449	inf
-3.0	0.4655	45.31301939682278
-2.94	0.4655	35.64053364020908
-2.88	0.4655	29.34887157956165
-2.82	0.4655	26.15011841594571
-2.76	0.4655	24.822193526118777
-2.7	0.4655	21.147129443916576
-2.64	0.4655	17.908465304072962
-2.58	0.4655	14.90245247627985
-2.52	0.4655	10.69509541049594
-2.46	0.4655	6.924580376188019
-2.4	0.4655	4.129479351446042
-2.34	0.4655	2.291690004244189
-2.28	0.4655	1.2531424001031866
-2.22	0.4655	0.9602575136118556
-2.16	0.4655	1.384074601449418
-2.1	0.4655	2.4697817990606947
-2.04	0.4655	4.0459519933394015
-1.98	0.4655	5.807853914454883
-1.92	0.4655	7.526609924301509
-1.86	0.4655	9.292249014940497
-1.8	0.4655	11.250959441918855
-1.74	0.4655	13.378829511611713
-1.6800000000000002	0.4655	15.82220360147742
-1.62	0.4655	18.125773227002007
-1.56	0.4655	19.30144965652444
-1.5	0.4655	20.246472955490788
-1.44	0.4655	22.400116907282985
-1.38	0.4655	24.087025083727575
-1.32	0.4655	26.92348442430325
-1.26	0.4655	32.96412473400556
-1.2000000000000002	0.4655	46.7287451147678
-1.14	0.4655	57.41620214929508
-1.08	0.4655	69.9806230036233
-1.02	0.4655	76.53337538934558
-0.96	0.4655	80.12222036851334
-0.9000000000000001	0.4655	87.30194477828144
-0.84	0.4655	inf
-0.78	0.4655	inf
-0.7200000000000001	0.4655	inf
-0.6600000000000001	0.4655	inf
-0.6000000000000001	0.4655	inf
-0.54	0.4655	inf
-0.4800000000000001	0.4655	inf
-0.4200000000000001	0.4655	inf
-0.3600000000000001	0.4655	inf
-0.3000000000000001	0.4655	inf
-0.24000000000000007	0.4655	inf
-0.1800000000000001	0.4655	inf
-0.12000000000000012	0.4655	inf
-0.0600000000000001	0.4655	inf
-1.1102230246251563e-16	0.4655	inf
0.05999999999999989	0.4655	inf
0.11999999999999988	0.4655	inf
0.17999999999999988	0.4655	inf
0.23999999999999988	0.4655	inf
0.2999999999999999	0.4655	inf
0.3599999999999999	0.4655	inf
0.41999999999999993	0.4655	inf
0.4799999999999999	0.4655	inf
0.5399999999999998	0.4655	inf
0.5999999999999999	0.4655	inf
0.6599999999999999	0.4655	inf
0.72	0.4655	inf
0.7799999999999998	0.4655	inf
0.8399999999999999	0.4655	inf
0.8999999999999998	0.4655	inf
0.9599999999999999	0.4655	inf
1.0199999999999998	0.4655	inf
1.0799999999999998	0.4655	inf
1.14	0.4655	inf
1.1999999999999995	0.4655	inf
1.2599999999999998	0.4655	inf
1.3199999999999998	0.4655	inf
1.38	0.4655	inf
1.44	0.4655	inf
1.4999999999999998	0.4655	inf
1.5599999999999998	0.4655	inf
1.62	0.4655	inf
1.6799999999999995	0.4655	inf
1.7399999999999998	0.4655	inf
1.7999999999999998	0.4655	inf
1.86	0.4655	inf
1.92	0.4655	inf
1.98	0.4655	inf
2.04	0.4655	inf
2.1	0.4655	inf
2.16	0.4655	inf
2.22	0.4655	inf
2.28	0.4655	inf
2.34	0.4655	inf
2.4	0.4655	inf
2.46	0.4655	inf
2.52	0.4655	inf
2.58	0.4655	inf
2.64	0.4655	inf
2.7	0.4655	inf
2.76	0.4655	inf
2.82	0.4655	inf
2.88	0.4655	inf
2.94	0.4655	inf
3.0	0.4655	inf
-3.0	0.482	43.54872159324335
-2.94	0.482	33.890515525247594
-2.88	0.482	27.63374023125119
-2.82	0.482	24.497223372208325
-2.76	0.482	23.22506877738485
-2.7	0.482	19.594250623734343
-2.64	0.482	16.327908492980274
-2.58	0.482	13.166470179737578
-2.52	0.482	8.88796270337531
-2.46	0.482	5.117118325625484
-2.4	0.482	2.3317971547029455
-2.34	0.482	0.494741569322552
-2.28	0.482	-0.5448930460332937
-2.22	0.482	-0.8352932978768216
-2.16	0.482	-0.4135298112438232
-2.1	0.482	0.6500972329913118
-2.04	0.482	2.1895962289607667
-1.98	0.482	3.9271486559089697
-1.92	0.482	5.637610824059816
-1.86	0.482	7.388057202465681
-1.8	0.482	9.296415420763145
-1.74	0.482	11.433412900159457
-1.6800000000000002	0.482	13.909853603741
-1.62	0.482	16.18321661919101
-1.56	0.482	17.452142152109012
-1.5	0.482	18.538500407026163
-1.44	0.482	20.596797457178848
-1.38	0.482	21.951511185124215
-1.32	0.482	24.71908093055088
-1.26	0.482	30.72856064217095
-1.2000000000000002	0.482	38.662682494600105
-1.14	0.482	38.74632325696386
-1.08	0.482	42.14699510717152
-1.02	0.482	49.133850128028826
-0.96	0.482	77.59652498352422
-0.9000000000000001	0.482	84.776191153843
-0.84	0.482	inf
-0.78	0.482	inf
-0.7200000000000001	0.482	inf
-0.6600000000000001	0.482	inf
-0.6000000000000001	0.482	inf
-0.54	0.482	inf
-0.4800000000000001	0.482	inf
-0.4200000000000001	0.482	inf
-0.3600000000000001	0.482	inf
-0.3000000000000001	0.482	inf
-0.24000000000000007	0.482	inf
-0.1800000000000001	0.482	inf
-0.12000000000000012	0.482	inf
-0.0600000000000001	0.482	inf
-1.1102230246251563e-16	0.482	inf
0.05999999999999989	0.482	inf
0.11999999999999988	0.482	inf
0.17999999999999988	0.482	inf
0.23999999999999988	0.482	inf
0.2999999999999999	0.482	inf
0.3599999999999999	0.482	inf
0.41999999999999993	0.482	inf
0.4799999999999999	0.482	inf
0.5399999999999998	0.482	inf
0.5999999999999999	0.482	inf
0.6599999999999999	0.482	inf
0.72	0.482	inf
0.7799999999999998	0.482	inf
0.8399999999999999	0.482	inf
0.8999999999999998	0.482	inf
0.9599999999999999	0.482	inf
1.0199999999999998	0.482	inf
1.0799999999999998	0.482	inf
1.14	0.482	inf
1.1999999999999995	0.482	inf
